id_conso,id_magasin,id_produit,date_conso,montant_ca,montant_vente,montant_marge_brute,type_conso
184,8,1,02/2024,133.5,49.0,1.0,R
185,8,1,01/2024,207.1,76.0,2.6,R
186,8,1,07/2024,149.8,55.0,1.0,R
187,8,1,06/2024,155.3,57.0,1.1,R
188,8,1,05/2024,136.2,50.0,0.8,R
189,8,1,03/2024,76.3,28.0,1.2,R
190,8,1,11/2024,117.2,43.0,2.0,R
191,8,1,10/2024,128.1,47.0,1.4,R
192,8,1,09/2024,419.6,154.0,1.9,R
193,9,1,08/2024,181.0,56.0,0.43,O
194,9,1,04/2024,303.7,94.0,1.15,O
195,9,1,12/2024,223.0,69.0,1.51,O
196,9,1,02/2024,174.5,54.0,3.94,O
197,9,1,01/2024,84.0,26.0,2.67,O
198,9,1,07/2024,142.2,44.0,1.78,O
199,9,1,06/2024,148.6,46.0,1.58,O
200,9,1,05/2024,106.6,33.0,0.72,O
201,9,1,03/2024,113.1,35.0,1.01,O
202,9,1,11/2024,54.9,17.0,3.47,O
203,9,1,10/2024,226.2,70.0,1.6,O
204,9,1,09/2024,213.3,66.0,1.96,O
205,9,1,08/2024,226.2,70.0,0.8,R
206,9,1,04/2024,245.6,76.0,1.2,R
207,9,1,12/2024,226.2,70.0,1.2,R
208,9,1,02/2024,100.2,31.0,3.2,R
209,9,1,01/2024,74.3,23.0,2.3,R
210,9,1,07/2024,138.9,43.0,1.5,R
211,9,1,06/2024,161.6,50.0,1.7,R
212,9,1,05/2024,64.6,20.0,1.1,R
213,9,1,03/2024,71.1,22.0,0.9,R
214,9,1,11/2024,67.9,21.0,1.9,R
215,9,1,10/2024,281.1,87.0,1.8,R
216,9,1,09/2024,216.5,67.0,2.0,R
217,10,1,08/2024,246.3,69.0,1.84,O
218,10,1,04/2024,282.0,79.0,1.03,O
219,10,1,12/2024,189.2,53.0,1.02,O
220,10,1,02/2024,339.1,95.0,1.59,O
221,10,1,01/2024,117.8,33.0,1.01,O
222,10,1,07/2024,142.8,40.0,0.96,O
223,10,1,06/2024,228.4,64.0,0.91,O
224,10,1,05/2024,278.4,78.0,2.84,O
225,10,1,03/2024,174.9,49.0,1.31,O
226,10,1,11/2024,117.8,33.0,1.15,O
227,10,1,10/2024,160.6,45.0,0.9,O
228,10,1,09/2024,189.2,53.0,0.42,O
229,10,1,08/2024,317.7,89.0,0.9,R
230,10,1,04/2024,157.0,44.0,1.0,R
231,10,1,12/2024,210.6,59.0,0.6,R
232,10,1,02/2024,235.6,66.0,1.7,R
233,10,1,01/2024,132.1,37.0,1.3,R
234,10,1,07/2024,153.5,43.0,0.9,R
235,10,1,06/2024,174.9,49.0,1.0,R
236,10,1,05/2024,174.9,49.0,1.7,R
237,10,1,03/2024,174.9,49.0,1.2,R
238,10,1,11/2024,75.0,21.0,0.8,R
239,10,1,10/2024,85.7,24.0,0.6,R
240,10,1,09/2024,246.3,69.0,0.7,R
241,11,1,08/2024,143.3,48.0,0.38,O
242,11,1,04/2024,208.9,70.0,0.82,O
243,11,1,12/2024,304.4,102.0,0.92,O
244,11,1,02/2024,247.7,83.0,0.59,O
245,11,1,01/2024,113.4,38.0,0.21,O
246,11,1,07/2024,113.4,38.0,0.72,O
247,11,1,06/2024,217.9,73.0,0.39,O
248,11,1,05/2024,280.6,94.0,0.36,O
249,11,1,03/2024,77.6,26.0,0.26,O
250,11,1,11/2024,113.4,38.0,0.34,O
251,11,1,10/2024,244.7,82.0,0.9,O
252,11,1,09/2024,211.9,71.0,0.57,O
253,11,1,08/2024,98.5,33.0,0.5,R
254,11,1,04/2024,232.8,78.0,0.4,R
255,11,1,12/2024,161.2,54.0,0.7,R
256,11,1,02/2024,232.8,78.0,0.6,R
257,11,1,01/2024,56.7,19.0,0.3,R
258,11,1,07/2024,101.5,34.0,0.6,R
259,11,1,06/2024,122.4,41.0,0.4,R
260,11,1,05/2024,191.0,64.0,0.7,R
261,11,1,03/2024,77.6,26.0,0.3,R
262,11,1,11/2024,134.3,45.0,0.4,R
263,11,1,10/2024,143.3,48.0,0.8,R
264,11,1,09/2024,226.8,76.0,0.5,R
265,12,1,08/2024,135.4,51.0,3.08,O
266,12,1,04/2024,108.9,41.0,0.97,O
267,12,1,12/2024,148.7,56.0,5.84,O
268,12,1,02/2024,127.5,48.0,4.49,O
269,12,1,01/2024,103.6,39.0,1.26,O
270,12,1,07/2024,87.6,33.0,1.67,O
271,12,1,06/2024,90.3,34.0,1.87,O
272,12,1,05/2024,103.6,39.0,1.83,O
273,12,1,03/2024,39.8,15.0,1.86,O
274,12,1,11/2024,122.2,46.0,2.62,O
275,12,1,10/2024,172.6,65.0,1.78,O
276,12,1,09/2024,74.4,28.0,2.55,O
277,12,1,08/2024,196.5,74.0,2.3,R
278,12,1,04/2024,116.8,44.0,1.1,R
279,12,1,12/2024,132.8,50.0,4.3,R
280,12,1,02/2024,154.0,58.0,4.0,R
281,12,1,01/2024,58.4,22.0,1.7,R
282,12,1,07/2024,79.7,30.0,1.6,R
283,12,1,06/2024,114.2,43.0,1.7,R
284,12,1,05/2024,103.6,39.0,1.5,R
285,12,1,03/2024,58.4,22.0,1.2,R
286,12,1,11/2024,215.1,81.0,3.3,R
287,12,1,10/2024,148.7,56.0,1.6,R
288,12,1,09/2024,39.8,15.0,2.2,R
289,13,1,08/2024,143.7,45.0,3.0,O
290,13,1,04/2024,159.6,50.0,1.08,O
291,13,1,12/2024,140.5,44.0,1.25,O
292,13,1,02/2024,60.7,19.0,0.9,O
293,13,1,01/2024,95.8,30.0,3.52,O
294,13,1,07/2024,130.9,41.0,1.62,O
295,13,1,06/2024,70.2,22.0,0.77,O
296,13,1,05/2024,54.3,17.0,1.07,O
297,13,1,03/2024,137.3,43.0,2.69,O
298,13,1,11/2024,76.6,24.0,1.67,O
299,13,1,10/2024,99.0,31.0,0.8,O
300,13,1,09/2024,127.7,40.0,4.23,O
301,13,1,08/2024,86.2,27.0,2.4,R
302,13,1,04/2024,242.6,76.0,1.0,R
303,13,1,12/2024,76.6,24.0,1.9,R
304,13,1,02/2024,38.3,12.0,1.2,R
305,13,1,01/2024,63.8,20.0,3.8,R
306,13,1,07/2024,67.0,21.0,1.5,R
307,13,1,06/2024,92.6,29.0,1.2,R
308,13,1,05/2024,67.0,21.0,1.1,R
309,13,1,03/2024,73.4,23.0,3.1,R
310,13,1,11/2024,79.8,25.0,1.5,R
311,13,1,10/2024,102.2,32.0,1.5,R
312,13,1,09/2024,162.8,51.0,3.3,R
313,14,1,08/2024,358.0,132.0,4.06,O
314,14,1,04/2024,284.7,105.0,1.13,O
315,14,1,12/2024,306.4,113.0,-0.12,O
316,14,1,02/2024,360.7,133.0,1.87,O
317,14,1,01/2024,303.7,112.0,2.06,O
318,14,1,07/2024,70.5,26.0,1.38,O
319,14,1,06/2024,173.6,64.0,1.88,O
320,14,1,05/2024,225.1,83.0,1.75,O
321,14,1,03/2024,127.5,47.0,1.76,O
322,14,1,11/2024,290.2,107.0,2.28,O
323,14,1,10/2024,195.2,72.0,3.78,O
324,14,1,09/2024,227.8,84.0,2.87,O
325,14,1,08/2024,439.3,162.0,3.0,R
326,14,1,04/2024,271.2,100.0,1.7,R
327,14,1,12/2024,339.0,125.0,-0.1,R
328,14,1,02/2024,211.5,78.0,2.2,R
329,14,1,01/2024,206.1,76.0,2.3,R
330,14,1,07/2024,51.5,19.0,2.4,R
331,14,1,06/2024,89.5,33.0,2.6,R
332,14,1,05/2024,330.8,122.0,3.2,R
333,14,1,03/2024,162.7,60.0,1.5,R
334,14,1,11/2024,263.0,97.0,4.4,R
335,14,1,10/2024,198.0,73.0,3.1,R
336,14,1,09/2024,265.8,98.0,3.1,R
337,15,1,08/2024,302.9,98.0,1.73,O
338,15,1,04/2024,204.0,66.0,1.96,O
339,15,1,12/2024,275.1,89.0,1.64,O
340,15,1,02/2024,145.3,47.0,1.74,O
341,15,1,01/2024,222.5,72.0,1.7,O
342,15,1,07/2024,92.7,30.0,2.96,O
343,15,1,06/2024,102.0,33.0,1.95,O
344,15,1,05/2024,89.6,29.0,0.97,O
345,15,1,03/2024,46.4,15.0,3.53,O
346,15,1,11/2024,71.1,23.0,2.08,O
347,15,1,10/2024,216.3,70.0,1.99,O
348,15,1,09/2024,241.1,78.0,3.13,O
349,15,1,08/2024,352.3,114.0,1.9,R
350,15,1,04/2024,120.5,39.0,2.7,R
351,15,1,12/2024,216.3,70.0,1.4,R
352,15,1,02/2024,163.8,53.0,1.4,R
353,15,1,01/2024,259.6,84.0,2.2,R
354,15,1,07/2024,105.1,34.0,2.5,R
355,15,1,06/2024,111.3,36.0,1.1,R
356,15,1,05/2024,114.3,37.0,1.7,R
357,15,1,03/2024,61.8,20.0,1.8,R
358,15,1,11/2024,83.4,27.0,2.9,R
359,15,1,10/2024,176.2,57.0,2.3,R
360,15,1,09/2024,380.1,123.0,2.7,R
361,16,1,08/2024,351.9,113.0,1.38,O
362,16,1,04/2024,255.4,82.0,1.23,O
363,16,1,12/2024,264.7,85.0,2.33,O
364,16,1,02/2024,218.0,70.0,1.08,O
365,16,1,01/2024,186.8,60.0,1.28,O
366,16,1,07/2024,121.4,39.0,1.65,O
367,16,1,06/2024,124.6,40.0,2.39,O
368,16,1,05/2024,196.2,63.0,3.52,O
369,16,1,03/2024,193.1,62.0,1.99,O
370,16,1,11/2024,149.5,48.0,2.57,O
371,16,1,10/2024,361.2,116.0,1.74,O
372,16,1,09/2024,383.0,123.0,0.94,O
373,16,1,08/2024,270.9,87.0,2.4,R
374,16,1,04/2024,137.0,44.0,2.4,R
375,16,1,12/2024,470.2,151.0,2.0,R
376,16,1,02/2024,118.3,38.0,1.3,R
377,16,1,01/2024,358.1,115.0,1.2,R
378,16,1,07/2024,112.1,36.0,1.3,R
379,16,1,06/2024,174.4,56.0,2.7,R
380,16,1,05/2024,236.7,76.0,2.2,R
381,16,1,03/2024,199.3,64.0,1.8,R
382,16,1,11/2024,102.8,33.0,2.9,R
383,16,1,10/2024,227.3,73.0,1.3,R
384,16,1,09/2024,379.9,122.0,1.8,R
385,17,1,08/2024,209.2,72.0,0.37,O
386,17,1,04/2024,162.7,56.0,0.58,O
387,17,1,12/2024,247.0,85.0,0.4,O
388,17,1,02/2024,191.8,66.0,0.55,O
389,17,1,01/2024,93.0,32.0,0.93,O
390,17,1,07/2024,156.9,54.0,1.26,O
391,17,1,06/2024,229.6,79.0,0.56,O
392,17,1,05/2024,174.3,60.0,0.67,O
393,17,1,03/2024,130.8,45.0,0.49,O
394,17,1,11/2024,197.6,68.0,0.12,O
395,17,1,10/2024,142.4,49.0,1.21,O
396,17,1,09/2024,217.9,75.0,1.15,O
397,17,1,08/2024,188.9,65.0,0.5,R
398,17,1,04/2024,84.3,29.0,0.7,R
399,17,1,12/2024,197.6,68.0,0.6,R
400,17,1,02/2024,226.6,78.0,0.6,R
401,17,1,01/2024,93.0,32.0,0.7,R
402,17,1,07/2024,154.0,53.0,1.9,R
403,17,1,06/2024,113.3,39.0,0.8,R
404,17,1,05/2024,351.6,121.0,0.9,R
405,17,1,03/2024,215.0,74.0,0.4,R
406,17,1,11/2024,101.7,35.0,0.2,R
407,17,1,10/2024,174.3,60.0,1.8,R
408,17,1,09/2024,177.2,61.0,0.9,R
409,18,1,08/2024,202.8,71.0,1.68,O
410,18,1,04/2024,171.4,60.0,0.63,O
411,18,1,12/2024,222.8,78.0,1.01,O
412,18,1,02/2024,191.4,67.0,1.99,O
413,18,1,01/2024,174.3,61.0,0.59,O
414,18,1,07/2024,188.6,66.0,0.36,O
415,18,1,06/2024,151.4,53.0,0.47,O
416,18,1,05/2024,125.7,44.0,1.38,O
417,18,1,03/2024,88.6,31.0,0.94,O
418,18,1,11/2024,97.1,34.0,0.61,O
419,18,1,10/2024,200.0,70.0,0.77,O
420,18,1,09/2024,208.6,73.0,2.09,O
421,18,1,08/2024,391.4,137.0,1.5,R
422,18,1,04/2024,85.7,30.0,0.7,R
423,18,1,12/2024,125.7,44.0,1.7,R
424,18,1,02/2024,188.6,66.0,1.1,R
425,18,1,01/2024,245.7,86.0,0.7,R
426,18,1,07/2024,122.8,43.0,0.6,R
427,18,1,06/2024,145.7,51.0,0.5,R
428,18,1,05/2024,148.6,52.0,1.3,R
429,18,1,03/2024,102.8,36.0,0.7,R
430,18,1,11/2024,97.1,34.0,0.6,R
431,18,1,10/2024,251.4,88.0,0.8,R
432,18,1,09/2024,242.8,85.0,1.2,R
433,19,1,08/2024,130.7,51.0,2.8,O
434,19,1,04/2024,279.4,109.0,1.31,O
435,19,1,12/2024,156.3,61.0,0.76,O
436,19,1,02/2024,94.8,37.0,2.48,O
437,19,1,01/2024,246.0,96.0,1.31,O
438,19,1,07/2024,28.2,11.0,0.68,O
439,19,1,06/2024,53.8,21.0,3.57,O
440,19,1,05/2024,100.0,39.0,1.9,O
441,19,1,03/2024,97.4,38.0,2.75,O
442,19,1,11/2024,56.4,22.0,0.65,O
443,19,1,10/2024,43.6,17.0,4.25,O
444,19,1,09/2024,120.5,47.0,3.21,O
445,19,1,08/2024,84.6,33.0,1.9,R
446,19,1,04/2024,307.5,120.0,1.3,R
447,19,1,12/2024,158.9,62.0,1.4,R
448,19,1,02/2024,105.1,41.0,1.3,R
449,19,1,01/2024,238.3,93.0,2.1,R
450,19,1,07/2024,33.3,13.0,1.3,R
451,19,1,06/2024,46.1,18.0,2.2,R
452,19,1,05/2024,92.3,36.0,2.1,R
453,19,1,03/2024,74.3,29.0,2.7,R
454,19,1,11/2024,41.0,16.0,0.8,R
455,19,1,10/2024,41.0,16.0,4.3,R
456,19,1,09/2024,138.4,54.0,2.8,R
457,20,1,08/2024,185.2,72.0,0.24,O
458,20,1,04/2024,133.7,52.0,0.28,O
459,20,1,12/2024,87.4,34.0,0.48,O
460,20,1,02/2024,92.6,36.0,0.18,O
461,20,1,01/2024,74.6,29.0,0.14,O
462,20,1,07/2024,41.1,16.0,0.16,O
463,20,1,06/2024,61.7,24.0,0.69,O
464,20,1,05/2024,79.7,31.0,0.08,O
465,20,1,03/2024,46.3,18.0,0.34,O
466,20,1,11/2024,56.6,22.0,0.31,O
467,20,1,10/2024,136.3,53.0,0.18,O
468,20,1,09/2024,74.6,29.0,0.16,O
469,20,1,08/2024,205.7,80.0,0.3,R
470,20,1,04/2024,113.2,44.0,0.3,R
471,20,1,12/2024,61.7,24.0,0.5,R
472,20,1,02/2024,113.2,44.0,0.2,R
473,20,1,01/2024,59.1,23.0,0.1,R
474,20,1,07/2024,51.4,20.0,0.3,R
475,20,1,06/2024,77.1,30.0,0.6,R
476,20,1,05/2024,64.3,25.0,0.2,R
477,20,1,03/2024,41.1,16.0,0.3,R
478,20,1,11/2024,69.4,27.0,0.4,R
479,20,1,10/2024,174.9,68.0,0.2,R
480,20,1,09/2024,74.6,29.0,0.2,R
481,21,1,08/2024,214.5,80.0,1.59,O
482,21,1,04/2024,227.9,85.0,0.61,O
483,21,1,12/2024,185.0,69.0,0.57,O
484,21,1,02/2024,249.3,93.0,0.99,O
485,21,1,01/2024,85.8,32.0,0.48,O
486,21,1,07/2024,128.7,48.0,0.95,O
487,21,1,06/2024,93.8,35.0,0.59,O
488,21,1,05/2024,126.0,47.0,0.52,O
489,21,1,03/2024,61.7,23.0,0.3,O
490,21,1,11/2024,171.6,64.0,0.67,O
491,21,1,10/2024,144.8,54.0,0.74,O
492,21,1,09/2024,96.5,36.0,1.74,O
493,21,1,08/2024,270.8,101.0,0.8,R
494,21,1,04/2024,115.3,43.0,0.5,R
495,21,1,12/2024,179.6,67.0,0.7,R
496,21,1,02/2024,238.6,89.0,1.0,R
497,21,1,01/2024,59.0,22.0,0.9,R
498,21,1,07/2024,139.4,52.0,1.1,R
499,21,1,06/2024,118.0,44.0,0.6,R
500,21,1,05/2024,83.1,31.0,0.9,R
501,21,1,03/2024,59.0,22.0,0.5,R
502,21,1,11/2024,217.2,81.0,0.7,R
503,21,1,10/2024,88.5,33.0,0.7,R
504,21,1,09/2024,115.3,43.0,1.7,R
505,22,1,08/2024,227.2,66.0,1.02,O
506,22,1,04/2024,220.3,64.0,1.84,O
507,22,1,12/2024,313.2,91.0,2.09,O
508,22,1,02/2024,344.2,100.0,1.85,O
509,22,1,01/2024,278.8,81.0,1.07,O
510,22,1,07/2024,189.3,55.0,0.6,O
511,22,1,06/2024,103.3,30.0,0.87,O
512,22,1,05/2024,158.3,46.0,0.89,O
513,22,1,03/2024,148.0,43.0,0.59,O
514,22,1,11/2024,223.7,65.0,1.06,O
515,22,1,10/2024,130.8,38.0,0.69,O
516,22,1,09/2024,241.0,70.0,1.14,O
517,22,1,08/2024,237.5,69.0,1.4,R
518,22,1,04/2024,154.9,45.0,1.2,R
519,22,1,12/2024,309.8,90.0,1.7,R
520,22,1,02/2024,302.9,88.0,1.1,R
521,22,1,01/2024,206.5,60.0,0.7,R
522,22,1,07/2024,168.7,49.0,1.0,R
523,22,1,06/2024,55.1,16.0,1.7,R
524,22,1,05/2024,199.7,58.0,0.7,R
525,22,1,03/2024,127.4,37.0,0.6,R
526,22,1,11/2024,223.7,65.0,1.3,R
527,22,1,10/2024,68.8,20.0,1.0,R
528,22,1,09/2024,192.8,56.0,1.5,R
529,23,1,08/2024,38.1,14.0,2.64,O
530,23,1,04/2024,29.9,11.0,1.58,O
531,23,1,12/2024,49.0,18.0,-0.01,O
532,23,1,02/2024,13.6,5.0,1.22,O
533,23,1,01/2024,27.2,10.0,0.51,O
534,23,1,07/2024,16.3,6.0,2.18,O
535,23,1,06/2024,10.9,4.0,0.77,O
536,23,1,05/2024,24.5,9.0,0.42,O
537,23,1,03/2024,16.3,6.0,0.76,O
538,23,1,11/2024,16.3,6.0,1.53,O
539,23,1,10/2024,32.6,12.0,0.29,O
540,23,1,09/2024,13.6,5.0,1.49,O
541,23,1,08/2024,21.8,8.0,1.8,R
542,23,1,04/2024,29.9,11.0,1.8,R
543,23,1,12/2024,40.8,15.0,0.0,R
544,23,1,02/2024,10.9,4.0,0.9,R
545,23,1,01/2024,21.8,8.0,0.6,R
546,23,1,07/2024,32.6,12.0,1.5,R
547,23,1,06/2024,13.6,5.0,1.1,R
548,23,1,05/2024,24.5,9.0,0.8,R
549,23,1,03/2024,21.8,8.0,0.8,R
550,23,1,11/2024,21.8,8.0,1.5,R
551,23,1,10/2024,21.8,8.0,0.4,R
552,23,1,09/2024,8.2,3.0,1.4,R
553,24,1,08/2024,214.8,89.0,0.79,O
554,24,1,04/2024,352.4,146.0,0.33,O
555,24,1,12/2024,371.7,154.0,1.08,O
556,24,1,02/2024,142.4,59.0,2.03,O
